PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
792,0,2,16.0,0,0,26.0,0,1,0,0,1
793,0,3,,8,2,69.55,1,0,0,0,1
794,0,1,,0,0,30.6958,0,1,1,0,0
795,0,3,25.0,0,0,7.8958,0,1,0,0,1
796,0,2,39.0,0,0,13.0,0,1,0,0,1
797,1,1,49.0,0,0,25.9292,1,0,0,0,1
798,1,3,31.0,0,0,8.6833,1,0,0,0,1
799,0,3,30.0,0,0,7.2292,0,1,1,0,0
800,0,3,30.0,1,1,24.15,1,0,0,0,1
801,0,2,34.0,0,0,13.0,0,1,0,0,1
802,1,2,31.0,1,1,26.25,1,0,0,0,1
803,1,1,11.0,1,2,120.0,0,1,0,0,1
804,1,3,0.42,0,1,8.5167,0,1,1,0,0
805,1,3,27.0,0,0,6.975,0,1,0,0,1
806,0,3,31.0,0,0,7.775,0,1,0,0,1
807,0,1,39.0,0,0,0.0,0,1,0,0,1
808,0,3,18.0,0,0,7.775,1,0,0,0,1
809,0,2,39.0,0,0,13.0,0,1,0,0,1
810,1,1,33.0,1,0,53.1,1,0,0,0,1
811,0,3,26.0,0,0,7.8875,0,1,0,0,1
812,0,3,39.0,0,0,24.15,0,1,0,0,1
813,0,2,35.0,0,0,10.5,0,1,0,0,1
814,0,3,6.0,4,2,31.275,1,0,0,0,1
815,0,3,30.5,0,0,8.05,0,1,0,0,1
816,0,1,,0,0,0.0,0,1,0,0,1
817,0,3,23.0,0,0,7.925,1,0,0,0,1
818,0,2,31.0,1,1,37.0042,0,1,1,0,0
819,0,3,43.0,0,0,6.45,0,1,0,0,1
820,0,3,10.0,3,2,27.9,0,1,0,0,1
821,1,1,52.0,1,1,93.5,1,0,0,0,1
822,1,3,27.0,0,0,8.6625,0,1,0,0,1
823,0,1,38.0,0,0,0.0,0,1,0,0,1
824,1,3,27.0,0,1,12.475,1,0,0,0,1
825,0,3,2.0,4,1,39.6875,0,1,0,0,1
826,0,3,,0,0,6.95,0,1,0,1,0
827,0,3,,0,0,56.4958,0,1,0,0,1
828,1,2,1.0,0,2,37.0042,0,1,1,0,0
829,1,3,,0,0,7.75,0,1,0,1,0
830,1,1,62.0,0,0,80.0,1,0,0,0,0
831,1,3,15.0,1,0,14.4542,1,0,1,0,0
832,1,2,0.83,1,1,18.75,0,1,0,0,1
833,0,3,,0,0,7.2292,0,1,1,0,0
834,0,3,23.0,0,0,7.8542,0,1,0,0,1
835,0,3,18.0,0,0,8.3,0,1,0,0,1
836,1,1,39.0,1,1,83.1583,1,0,1,0,0
837,0,3,21.0,0,0,8.6625,0,1,0,0,1
838,0,3,,0,0,8.05,0,1,0,0,1
839,1,3,32.0,0,0,56.4958,0,1,0,0,1
840,1,1,,0,0,29.7,0,1,1,0,0
841,0,3,20.0,0,0,7.925,0,1,0,0,1
842,0,2,16.0,0,0,10.5,0,1,0,0,1
843,1,1,30.0,0,0,31.0,1,0,1,0,0
844,0,3,34.5,0,0,6.4375,0,1,1,0,0
845,0,3,17.0,0,0,8.6625,0,1,0,0,1
846,0,3,42.0,0,0,7.55,0,1,0,0,1
847,0,3,,8,2,69.55,0,1,0,0,1
848,0,3,35.0,0,0,7.8958,0,1,1,0,0
849,0,2,28.0,0,1,33.0,0,1,0,0,1
850,1,1,,1,0,89.1042,1,0,1,0,0
851,0,3,4.0,4,2,31.275,0,1,0,0,1
852,0,3,74.0,0,0,7.775,0,1,0,0,1
853,0,3,9.0,1,1,15.2458,1,0,1,0,0
854,1,1,16.0,0,1,39.4,1,0,0,0,1
855,0,2,44.0,1,0,26.0,1,0,0,0,1
856,1,3,18.0,0,1,9.35,1,0,0,0,1
857,1,1,45.0,1,1,164.8667,1,0,0,0,1
858,1,1,51.0,0,0,26.55,0,1,0,0,1
859,1,3,24.0,0,3,19.2583,1,0,1,0,0
860,0,3,,0,0,7.2292,0,1,1,0,0
861,0,3,41.0,2,0,14.1083,0,1,0,0,1
862,0,2,21.0,1,0,11.5,0,1,0,0,1
863,1,1,48.0,0,0,25.9292,1,0,0,0,1
864,0,3,,8,2,69.55,1,0,0,0,1
865,0,2,24.0,0,0,13.0,0,1,0,0,1
866,1,2,42.0,0,0,13.0,1,0,0,0,1
867,1,2,27.0,1,0,13.8583,1,0,1,0,0
868,0,1,31.0,0,0,50.4958,0,1,0,0,1
869,0,3,,0,0,9.5,0,1,0,0,1
870,1,3,4.0,1,1,11.1333,0,1,0,0,1
871,0,3,26.0,0,0,7.8958,0,1,0,0,1
872,1,1,47.0,1,1,52.5542,1,0,0,0,1
873,0,1,33.0,0,0,5.0,0,1,0,0,1
874,0,3,47.0,0,0,9.0,0,1,0,0,1
875,1,2,28.0,1,0,24.0,1,0,1,0,0
876,1,3,15.0,0,0,7.225,1,0,1,0,0
877,0,3,20.0,0,0,9.8458,0,1,0,0,1
878,0,3,19.0,0,0,7.8958,0,1,0,0,1
879,0,3,,0,0,7.8958,0,1,0,0,1
880,1,1,56.0,0,1,83.1583,1,0,1,0,0
881,1,2,25.0,0,1,26.0,1,0,0,0,1
882,0,3,33.0,0,0,7.8958,0,1,0,0,1
883,0,3,22.0,0,0,10.5167,1,0,0,0,1
884,0,2,28.0,0,0,10.5,0,1,0,0,1
885,0,3,25.0,0,0,7.05,0,1,0,0,1
886,0,3,39.0,0,5,29.125,1,0,0,1,0
887,0,2,27.0,0,0,13.0,0,1,0,0,1
888,1,1,19.0,0,0,30.0,1,0,0,0,1
889,0,3,,1,2,23.45,1,0,0,0,1
890,1,1,26.0,0,0,30.0,0,1,1,0,0
891,0,3,32.0,0,0,7.75,0,1,0,1,0
